,DateTime,Open,Close,Volume
0,2023-09-22 09:30:00-04:00,432.46,432.14,1637352
1,2023-09-22 09:35:00-04:00,432.14,432.16,1134849
2,2023-09-22 09:40:00-04:00,432.16,431.97,1380107
3,2023-09-22 09:45:00-04:00,431.93,432.34,1119613
4,2023-09-22 09:50:00-04:00,432.34,431.84,936905
5,2023-09-22 09:55:00-04:00,431.85,432.45,966937
6,2023-09-22 10:00:00-04:00,432.47,432.56,826349
7,2023-09-22 10:05:00-04:00,432.57,432.84,1103122
8,2023-09-22 10:10:00-04:00,432.85,432.2,937257
9,2023-09-22 10:15:00-04:00,432.2,432.44,1066437
10,2023-09-22 10:20:00-04:00,432.45,432.86,885234
11,2023-09-22 10:25:00-04:00,432.87,432.75,822506
12,2023-09-22 10:30:00-04:00,432.77,433.42,1186403
13,2023-09-22 10:35:00-04:00,433.44,433.29,874639
14,2023-09-22 10:40:00-04:00,433.29,433.28,919336
15,2023-09-22 10:45:00-04:00,433.29,433.3,576698
16,2023-09-22 10:50:00-04:00,433.31,433.38,744855
17,2023-09-22 10:55:00-04:00,433.38,433.66,877591
18,2023-09-22 11:00:00-04:00,433.67,433.34,725446
19,2023-09-22 11:05:00-04:00,433.35,433.15,599687
20,2023-09-22 11:10:00-04:00,433.15,433.18,648580
21,2023-09-22 11:15:00-04:00,433.18,433.31,620723
22,2023-09-22 11:20:00-04:00,433.31,433.45,404981
23,2023-09-22 11:25:00-04:00,433.46,433.87,743935
24,2023-09-22 11:30:00-04:00,433.88,433.77,561249
25,2023-09-22 11:35:00-04:00,433.78,434.09,602152
26,2023-09-22 11:40:00-04:00,434.08,433.59,629762
27,2023-09-22 11:45:00-04:00,433.58,433.43,351335
28,2023-09-22 11:50:00-04:00,433.44,433.22,406931
29,2023-09-22 11:55:00-04:00,433.21,432.91,584375
30,2023-09-22 12:00:00-04:00,432.92,432.86,492477
31,2023-09-22 12:05:00-04:00,432.86,432.87,615360
32,2023-09-22 12:10:00-04:00,432.86,432.97,323982
33,2023-09-22 12:15:00-04:00,432.96,433.37,486216
34,2023-09-22 12:20:00-04:00,433.37,433.37,406686
35,2023-09-22 12:25:00-04:00,433.37,433.24,389797
36,2023-09-22 12:30:00-04:00,433.26,433.36,446881
37,2023-09-22 12:35:00-04:00,433.36,433.63,377964
38,2023-09-22 12:40:00-04:00,433.64,433.66,368357
39,2023-09-22 12:45:00-04:00,433.67,433.57,281143
40,2023-09-22 12:50:00-04:00,433.57,433.5,304115
41,2023-09-22 12:55:00-04:00,433.51,433.4,276729
42,2023-09-22 13:00:00-04:00,433.41,433.38,314026
43,2023-09-22 13:05:00-04:00,433.38,433.11,366125
44,2023-09-22 13:10:00-04:00,433.11,433.0,484366
45,2023-09-22 13:15:00-04:00,433.0,432.74,473936
46,2023-09-22 13:20:00-04:00,432.72,432.22,738898
47,2023-09-22 13:25:00-04:00,432.21,432.14,834195
48,2023-09-22 13:30:00-04:00,432.14,431.94,767185
49,2023-09-22 13:35:00-04:00,431.95,431.57,1284221
50,2023-09-22 13:40:00-04:00,431.58,431.37,871690
51,2023-09-22 13:45:00-04:00,431.36,431.4,629457
52,2023-09-22 13:50:00-04:00,431.41,431.7,1170690
53,2023-09-22 13:55:00-04:00,431.71,431.62,473535
54,2023-09-22 14:00:00-04:00,431.61,431.56,486014
55,2023-09-22 14:05:00-04:00,431.57,431.53,400091
56,2023-09-22 14:10:00-04:00,431.53,430.92,1110529
57,2023-09-22 14:15:00-04:00,430.92,430.68,1004313
58,2023-09-22 14:20:00-04:00,430.69,431.13,733407
59,2023-09-22 14:25:00-04:00,431.13,431.0,660316
60,2023-09-22 14:30:00-04:00,430.99,431.15,713767
61,2023-09-22 14:35:00-04:00,431.14,430.86,591168
62,2023-09-22 14:40:00-04:00,430.87,430.64,672486
63,2023-09-22 14:45:00-04:00,430.64,431.04,543473
64,2023-09-22 14:50:00-04:00,431.04,431.01,476253
65,2023-09-22 14:55:00-04:00,431.01,431.07,655926
66,2023-09-22 15:00:00-04:00,431.05,431.66,987009
67,2023-09-22 15:05:00-04:00,431.66,432.67,1004016
68,2023-09-22 15:10:00-04:00,432.68,432.64,850632
69,2023-09-22 15:15:00-04:00,432.64,432.74,828781
70,2023-09-22 15:20:00-04:00,432.74,432.93,935420
71,2023-09-22 15:25:00-04:00,432.92,432.59,660531
72,2023-09-22 15:30:00-04:00,432.6,432.02,1243605
73,2023-09-22 15:35:00-04:00,432.02,431.97,838136
74,2023-09-22 15:40:00-04:00,431.98,430.98,1722700
75,2023-09-22 15:45:00-04:00,430.98,430.65,3680855
76,2023-09-22 15:50:00-04:00,430.64,430.24,4129915
77,2023-09-22 15:55:00-04:00,430.23,430.38,7183263
